text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
这是我观赏过的最令人惊叹的演出,7.0,7.75,0.0,0.433
每一样都美好得不可思议,7.75,7.4,0.433,1.2
我想不出合适的词来形容她,4.5,4.75,0.5,1.09
语言不能描述她,5.5,4.6,0.5,1.855
我觉得我们共同对神献上礼赞,7.333,6.333,1.247,1.7
但看完你的留言感觉超弱,3.667,5.667,0.471,0.943
历史上我还真找不到有那一位成功者是每天开会,4.0,4.0,0.707,2.236
民主先生们该好好思考了,5.667,4.667,0.471,0.471
与运动神经拔群的模特体型美少女,6.25,5.25,0.433,0.433
原本过著和平的高中生活的两人,5.667,5.333,0.471,1.247
迷路到了从未到过的土地,5.0,4.0,0.0,2.121
世界瑜珈大赛七强,6.667,5.667,1.247,1.247
不管是露基梅还是抱枕套只要有克莱的脸就90分起跳,7.0,6.0,0.0,0.0
在没有任何实证其数学能力的情况下,5.0,3.5,0.0,0.5
获得89万名考官的认可,6.667,4.667,0.943,0.471
而手的姿势又可以表达很多不同的感觉,6.0,5.0,0.707,0.816
基隆市长施政满意破七成,6.5,4.6,0.5,1.855
高雄市民你们怎么不会感到愤怒啊,3.0,6.6,0.0,0.49
工作缴税让这种人浪费你们的时间跟金钱,2.6,7.5,0.49,0.866
市长的工作都没有做,3.5,6.5,0.5,0.5
不仔细看会以为这地铁站叫,5.0,4.0,0.0,2.0
朱社长又在脸书骂小英没有履行承诺,3.5,5.333,0.5,0.471
让台湾人不用为身分认同道歉,7.0,4.25,0.707,1.785
我不懂他们说的电波是什么意思,4.333,4.333,0.471,0.471
所以无法跟不熟的人很放心的聊天,4.0,4.5,0.0,0.5
询问后才知道他是被用某个特定称呼喊到厌烦,3.6,4.0,0.49,0.707
一切诸佛所护念?,5.0,3.25,0.0,1.92
或许在我们该该叫的那晚复活的事情早就决定了吧,5.4,5.5,0.49,1.118
河村隆一演出充满温暖,7.667,5.667,0.471,1.886
两者根本毫无区别,4.333,6.333,0.471,1.247
一样孩子般的笑声,6.0,3.0,0.0,0.816
12个自然人股东均为集团的创始人,5.333,3.333,0.471,1.7
自愿签署捐赠协议,6.25,4.75,0.433,0.433
协议要求这些自然人股东在离职或死亡的情况下,4.0,4.0,0.0,0.0
打从一开始你就接受我真实的样子,7.0,5.25,0.707,0.829
负面的样子都能爱著我,6.0,4.0,0.816,2.16
直到你告诉我你感到压力,4.0,2.667,1.0,0.943
他把自己经历的事件遇见的人,5.0,4.333,0.0,0.471
都用没有情绪的口吻描述在小说里,4.5,4.5,0.5,0.866
甚么心灵量子宇宙能量场的你一分钟就失去了六十秒真是不得了,5.0,7.0,0.0,0.0
感恩老师教会我学习独处,7.0,5.75,0.0,0.829
得到宁静的力量等等,5.667,2.667,0.471,0.943
独处还需要花学费学习,4.0,6.5,0.0,0.5
之前裙子的我也有突然换色的经验耶,5.5,5.75,0.5,1.299
但是没过多久又变回一开始看到的颜色,4.5,4.5,0.5,0.5
但却突然就换颜色了,4.0,5.5,0.0,1.118
但当时还是不管怎么看都是灰绿,4.0,3.0,1.0,2.0
也说不定明天就会变回灰绿了,4.0,5.0,0.0,0.816
但这感觉真的有够奇怪,4.0,5.667,0.0,0.471
被同事说很会安慰人,6.6,4.4,0.49,1.744
因为挤牙膏自己压到手结果流血,4.25,5.75,0.433,0.433
的群嘲仇恨给拉走,3.4,4.8,0.49,1.6
普通的生活真的很珍贵的,6.333,5.0,0.943,1.414
但是居然一个礼物,5.5,6.333,0.5,0.471
久病床前无孝子,2.6,4.4,0.49,2.577
痛失稚子的总统,3.5,3.5,0.5,1.118
竟独自奔赴墓园,4.0,7.0,0.816,0.816
